country,year,life_ladder,log_gdp_per_capita,social_support,life_expec,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,confidence_in_national_government,democratic_quality,delivery_quality,standard_deviation_of_ladder_by_country_year,standard_deviation_mean_of_ladder_by_country_year,gini_index_world_bank_estimate,gini_index_world_bank_estimate_average_2000_15,gini_of_household_income_reported_in_gallup_by_wp5_year,continent,country_code,populacao_2020
Botswana,2017,3.5048811435699463,9.683658599853516,0.7682586312294006,58.013214111328125,0.8173080086708069,-0.25824928283691406,0.7314414978027344,0.6563964486122131,0.27625250816345215,0.7708210945129395,NA,NA,2.6694254875183105,0.7616308331489563,NA,0.626,0.637864351272583,Africa,72,2351.625
Brazil,2017,6.3329291343688965,9.547693252563477,0.9046942591667175,65.4537353515625,0.7647925615310669,-0.18726469576358795,0.7944573760032654,0.7159451246261597,0.30771690607070923,0.1654902696609497,NA,NA,2.530506134033203,0.39957910776138306,NA,0.5502142857142858,0.39262256026268005,Americas,76,212559.409
Bulgaria,2017,5.096901893615723,9.822961807250977,0.9417545795440674,66.41548919677734,0.6890470385551453,-0.16003866493701935,0.9107997417449951,0.6142167448997498,0.18863734602928162,0.32608795166015625,NA,NA,1.8523638248443604,0.36342936754226685,NA,0.35466666666666663,0.343219518661499,Europe,100,6948.445000000001
Burkina Faso,2017,4.646891117095947,7.434531211853027,0.784761369228363,52.39947509765625,0.6137747168540955,-0.05128677934408188,0.7274513244628906,0.5851724743843079,0.3538210690021515,0.5406561493873596,NA,NA,2.19759202003479,0.4729166030883789,NA,0.39466666666666667,0.5531443357467651,Africa,854,20903.278
Cambodia,2017,4.585842132568359,8.202580451965332,0.7650949358940125,58.63087463378906,0.9637746810913086,0.08671936392784119,0.8210229277610779,0.7986166477203369,0.4082838296890259,0.752442479133606,NA,NA,2.732651472091675,0.5958886742591858,NA,NA,0.5456905961036682,Asia,116,16718.971
Cameroon,2017,5.074051380157471,8.128399848937988,0.6945964097976685,50.14022445678711,0.7669450044631958,-0.0310556311160326,0.8435856103897095,0.6323387622833252,0.3774987459182739,0.5787755250930786,NA,NA,2.8152244091033936,0.5548277497291565,NA,0.438,0.5652372241020203,Africa,120,26545.863999999998
Central African Republic,2017,3.4758620262145996,NA,0.31958913803100586,44.64535140991211,0.6452523469924927,NA,0.8895660042762756,0.6138651967048645,0.5993354916572571,0.6502848863601685,NA,NA,2.8070738315582275,0.8075907230377197,NA,0.499,0.7153712511062622,Africa,140,4829.764
Chad,2017,4.558937072753906,7.490785121917725,0.6606155633926392,45.98406219482422,0.6148496866226196,-0.002929057227447629,0.7923899292945862,0.6275031566619873,0.538245439529419,0.4735443890094757,NA,NA,2.880960464477539,0.6319369077682495,NA,0.4155,0.5615192651748657,Africa,148,16425.859
Chile,2017,6.320119380950928,10.037578582763672,0.8798407912254333,69.60894012451172,0.7901164889335632,-0.035265177488327026,0.8359875082969666,0.8384748101234436,0.2910420894622803,0.26828330755233765,NA,NA,2.1624202728271484,0.34214863181114197,NA,0.49157142857142855,0.5746470093727112,Americas,152,19116.208999999995
China,2017,5.099061489105225,9.635466575622559,0.7720332145690918,69.30279541015625,0.877617597579956,-0.19463473558425903,NA,0.8210972547531128,0.2140047550201416,NA,NA,NA,2.2716639041900635,0.4455062747001648,NA,0.42500000000000004,0.6333549618721008,Asia,156,1439323.7739999997
Colombia,2017,6.157341957092285,9.490860939025879,0.9092499613761902,64.13578033447266,0.8375546336174011,-0.16587814688682556,0.8750181198120117,0.8369269967079163,0.2993089556694031,0.22188259661197662,NA,NA,2.5448215007781982,0.41329872608184814,NA,0.5525,0.542027473449707,Americas,170,50882.884
Costa Rica,2017,7.225181579589844,9.670634269714355,0.9216971397399902,69.86730194091797,0.9356184601783752,-0.07826852798461914,0.7423507571220398,0.8743958473205566,0.2754400670528412,0.4074484407901764,NA,NA,2.079983949661255,0.2878798246383667,NA,0.4913125,0.4693082273006439,Americas,188,5094.114
Croatia,2017,5.343165874481201,10.014188766479492,0.7703096866607666,67.01551055908203,0.7158222794532776,-0.10941725224256516,0.8915597200393677,0.655305027961731,0.31648823618888855,0.21100066602230072,NA,NA,1.5708214044570923,0.2939870059490204,NA,0.32333333333333336,0.338284969329834,Europe,191,4105.268
